url,titulo,preco,vendas,teste,marca
https://produto.mercadolivre.com.br/MLB-1604014495-furadeira-12w-parafusadeira-38-polegadas-bivolt-dewalt-_JM?searchVariation=174356421082#searchVariation=174356421082&position=40&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,Furadeira 12w Parafusadeira 3/8 Polegadas Bivolt - Dewalt,647,1,15,DeWalt
https://produto.mercadolivre.com.br/MLB-2062508601-parafusadeira-furadeira-de-impacto-20v-brushless-dcd7781d1-_JM#position=33&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,Parafusadeira Furadeira De Impacto 20v Brushless Dcd7781d1,1.007,10,15,DeWalt
https://produto.mercadolivre.com.br/MLB-1710954175-furadeira-impacto-parafusadeira-38-600w-efi600k-wap-kit-_JM?searchVariation=67672710763#searchVariation=67672710763&position=39&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,Furadeira Impacto Parafusadeira 3/8 600w Efi600k Wap + Kit ,159,1070,15,Wap
https://produto.mercadolivre.com.br/MLB-2089211527-furadeira-650w-impacto-bosch-gsb13-12-maleta-5-brocas-220v-_JM?searchVariation=174127425235#searchVariation=174127425235&position=32&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,Furadeira 650w Impacto Bosch Gsb13 1/2 Maleta 5 Brocas 220v,469,15,15,Bosch
https://produto.mercadolivre.com.br/MLB-2123496961-parafusadeira-britnia-bpf01200rpm-48v-_JM?searchVariation=174038413474#searchVariation=174038413474&position=34&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,"Parafusadeira Britânia Bpf01200rpm  4,8v",128,2,15,Britânia
https://produto.mercadolivre.com.br/MLB-2041306166-furadeira-de-impacto-e-parafusadeira-nkf-2-baterias-fp20x2-_JM?searchVariation=173750983565#searchVariation=173750983565&position=35&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,Furadeira De Impacto E Parafusadeira Nkf 2 Baterias Fp20x2,499,11,15,NKF
https://produto.mercadolivre.com.br/MLB-1663717609-furadeira-de-impacto-hammer-700w-fi7000-2900rpm-_JM?searchVariation=64564779071#searchVariation=64564779071&position=29&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,Furadeira De Impacto Hammer 700w Fi7000 2900rpm,278,5,15,Hammer
https://produto.mercadolivre.com.br/MLB-1626659485-furadeiraparafusadeira-mondial-21v-bivolt-cmaleta-pf-09m-_JM?searchVariation=173763074073#searchVariation=173763074073&position=31&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,Furadeira/parafusadeira Mondial 21v Bivolt C/maleta- Pf-09m,345,71,15,Mondial
https://produto.mercadolivre.com.br/MLB-1924572029-broca-eletrica-portatil-diy-mini-brocas-micro-usb-_JM?searchVariation=88705649136#searchVariation=88705649136&position=30&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,Broca Elétrica Portátil Diy Mini Brocas Micro Usb,74,15,15,Generic
https://produto.mercadolivre.com.br/MLB-1230204790-furadeira-impacto-12-550w-fiv550-220v-vonder-_JM#position=26&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,Furadeira Impacto 1/2 550w Fiv550 220v Vonder,259,4,15,Vonder
